,a(p(Raf)),a(p(Mek)),a(p(Erk))
1537,52,56,80
1538,49,65,88
1539,51,67,84
1540,51,74,88
1541,54,68,81
1542,51,70,86
1543,45,68,86
1544,39,53,72
1545,45,63,87
1546,52,66,85
1547,53,71,82
1548,50,62,86
1549,48,70,85
1550,50,51,84
1551,57,63,88
1552,47,65,85
1553,54,69,83
1554,55,65,83
1555,51,66,85
1556,48,70,87
1557,47,57,86
1558,48,59,86
1559,51,65,87
1560,44,60,86
1561,51,61,79
1562,52,63,82
1563,52,64,88
1564,48,67,80
1565,52,64,79
1566,42,52,75
1567,52,63,84
1568,51,69,82
1569,42,66,86
1570,54,63,82
1571,38,59,78
1572,40,54,81
1573,48,65,81
1574,47,69,88
1575,52,66,89
1576,46,57,80
1577,51,62,83
1578,50,55,77
1579,41,58,83
1580,42,55,79
1581,44,58,82
1582,46,69,83
1583,51,63,85
1584,48,67,81
1585,51,55,86
1586,44,58,80
1587,43,66,84
1588,49,58,84
1589,37,54,80
1590,50,62,82
1591,51,67,85
1592,53,62,84
1593,45,62,80
1594,42,66,90
1595,54,71,82
1596,53,73,80
1597,49,63,83
1598,45,67,81
1599,48,67,84
1600,49,63,81
1601,47,65,84
1602,46,64,90
1603,58,71,86
1604,44,57,83
1605,48,66,86
1606,38,58,85
1607,51,68,84
1608,50,64,89
1609,51,69,83
1610,51,66,85
1611,53,72,87
1612,53,62,87
1613,55,65,80
1614,49,62,87
1615,44,56,82
1616,41,52,88
1617,49,65,86
1618,40,63,90
1619,43,59,78
1620,49,58,82
1621,50,63,79
1622,55,68,81
1623,49,53,85
1624,53,72,87
1625,55,67,84
1626,45,59,82
1627,49,70,84
1628,53,62,77
1629,53,70,88
1630,50,63,87
1631,53,58,81
1632,40,52,82
1633,54,60,84
1634,43,58,79
1635,45,60,83
1636,38,53,83
1637,47,59,78
1638,51,68,83
1639,50,66,84
1640,46,57,90
1641,45,54,84
1642,50,65,83
1643,50,61,85
1644,56,67,88
1645,44,72,81
1646,50,67,90
1647,45,55,90
1648,44,60,79
1649,46,69,85
1650,60,64,88
1651,50,56,83
1652,48,65,86
1653,50,64,86
1654,42,54,80
1655,51,61,87
1656,58,69,92
1657,50,65,91
1658,40,48,82
1659,51,56,82
1660,48,67,85
1661,51,75,84
1662,54,75,85
1663,50,59,89
1664,49,69,85
1665,51,65,81
1666,50,68,85
1667,46,64,94
1668,50,61,85
1669,39,59,86
1670,56,66,78
1671,50,61,91
1672,48,52,81
1673,58,64,82
1674,46,53,83
1675,40,59,84
1676,53,62,82
1677,47,61,83
1678,50,61,85
1679,50,62,78
1680,55,70,86
1681,59,76,85
1682,52,64,80
1683,46,62,86
1684,51,67,88
1685,51,64,82
1686,51,67,85
1687,44,65,85
1688,43,68,86
1689,45,57,90
1690,48,63,79
1691,56,71,79
1692,48,69,90
1693,50,56,88
1694,54,67,89
1695,51,62,87
1696,43,64,84
1697,43,62,76
1698,56,64,87
1699,47,59,81
1700,50,58,80
1701,51,65,82
1702,49,72,81
1703,42,50,81
1704,39,52,84
1705,49,59,81
1706,48,71,78
1707,51,63,88
1708,52,63,85
1709,53,68,90
1710,41,58,87
1711,48,63,84
1712,41,53,84
1713,51,63,79
1714,46,70,85
1715,48,63,83
1716,55,67,76
1717,55,63,84
1718,40,63,85
1719,48,55,86
1720,50,65,85
1721,60,72,89
1722,46,59,84
1723,47,64,87
1724,48,70,85
1725,57,69,86
1726,51,75,86
1727,55,66,87
1728,49,61,84
1729,53,67,86
1730,56,66,84
1731,48,49,74
1732,40,52,88
1733,41,68,85
1734,52,63,81
1735,40,53,85
1736,40,62,83
1737,57,68,86
1738,46,54,80
1739,51,62,83
1740,46,56,89
1741,43,62,78
1742,52,60,85
1743,50,65,81
1744,45,64,85
1745,55,63,81
1746,55,65,84
1747,53,61,89
1748,51,58,86
1749,58,80,84
1750,54,67,87
1751,48,64,80
1752,56,68,89
1753,57,71,83
1754,47,65,86
1755,48,63,86
1756,47,66,83
1757,54,59,84
1758,52,60,77
1759,61,68,83
1760,54,68,86
1761,52,58,84
1762,58,70,89
1763,60,66,89
1764,42,59,88
1765,53,63,91
1766,49,64,85
1767,44,58,77
1768,48,67,83
1769,49,62,81
1770,43,60,86
1771,54,67,83
1772,45,64,82
1773,52,68,92
1774,54,63,88
1775,46,66,88
1776,54,66,89
1777,53,60,84
1778,53,78,90
1779,45,70,83
1780,56,65,83
1781,45,66,87
1782,51,77,81
1783,56,73,88
1784,54,64,79
1785,58,62,81
1786,46,63,88
1787,49,61,90
1788,46,59,88
1789,46,68,84
1790,47,57,83
1791,44,56,77
1792,51,60,87
1793,45,52,86
1794,45,57,81
1795,57,63,87
1796,54,67,89
1797,51,62,83
1798,38,46,80
1799,46,50,84
1800,51,61,84
1801,54,62,86
1802,58,71,89
1803,50,59,84
1804,44,68,79
1805,39,52,85
1806,55,57,81
1807,50,60,81
1808,48,60,85
1809,52,75,90
1810,42,57,85
1811,61,67,84
1812,54,65,86
1813,48,61,76
1814,41,61,79
1815,51,72,88
1816,56,64,82
1817,51,67,82
1818,40,65,78
1819,51,64,85
1820,51,62,80
1821,46,65,78
1822,53,59,86
1823,52,67,91
1824,50,68,90
1825,49,58,89
1826,52,66,82
1827,40,51,84
1828,50,68,85
1829,46,60,86
1830,60,79,87
1831,53,66,83
1832,54,62,82
1833,46,68,80
1834,49,63,84
1835,50,61,85
1836,59,65,86
1837,45,56,83
1838,49,59,83
1839,49,63,88
1840,34,63,85
1841,50,67,88
1842,47,59,81
1843,51,57,90
1844,58,60,89
1845,53,71,84
1846,57,64,83
1847,46,58,79
1848,43,65,90
1849,50,51,88
1850,39,42,81
1851,52,64,86
1852,47,64,85
1853,40,49,80
1854,45,54,77
1855,39,67,82
1856,48,60,85
1857,49,57,78
1858,51,59,81
1859,52,58,86
1860,54,71,91
1861,43,58,76
1862,52,67,80
1863,51,66,79
1864,51,67,85
1865,53,60,84
1866,44,59,90
1867,50,70,86
1868,54,68,87
1869,49,59,80
1870,50,59,81
1871,59,64,82
1872,43,61,80
1873,50,64,85
1874,49,62,84
1875,48,60,84
1876,52,64,85
1877,51,66,90
1878,49,61,84
1879,47,64,89
1880,47,63,79
1881,53,60,89
1882,52,71,89
1883,58,66,81
1884,44,57,89
1885,50,65,84
1886,56,68,89
1887,62,73,84
1888,52,62,83
1889,44,53,89
1890,51,64,90
1891,52,63,89
1892,46,73,82
1893,55,71,81
1894,63,69,84
1895,53,60,75
1896,47,63,85
1897,49,69,87
1898,58,69,84
1899,52,65,81
1900,51,67,82
1901,44,60,78
1902,52,61,84
1903,48,63,81
1904,57,74,84
1905,54,65,84
1906,48,62,87
1907,52,70,80
1908,49,59,78
1909,41,55,88
1910,52,69,88
1911,45,61,87
1912,49,60,81
1913,46,53,87
1914,49,76,91
1915,46,69,86
1916,48,68,87
1917,52,62,83
1918,52,69,82
1919,46,59,80
1920,47,55,82
1921,48,66,82
1922,39,52,76
1923,45,62,90
1924,52,56,84
1925,56,66,76
1926,39,58,88
1927,49,64,83
1928,49,56,78
1929,48,63,80
1930,43,68,90
1931,45,65,81
1932,43,70,78
1933,52,58,74
1934,50,62,86
1935,56,72,91
1936,51,68,84
1937,47,59,89
1938,47,57,81
1939,49,60,84
1940,42,62,82
1941,50,57,84
1942,41,64,82
1943,49,61,82
1944,52,64,92
1945,40,57,84
1946,46,65,83
1947,48,57,88
1948,50,70,85
1949,46,57,89
1950,35,45,81
1951,50,65,78
1952,46,60,80
1953,47,63,81
1954,43,66,84
1955,51,64,84
1956,60,64,87
1957,37,53,74
1958,44,51,82
1959,47,63,90
1960,55,60,88
1961,53,67,85
1962,45,74,82
1963,47,62,87
1964,45,60,85
1965,53,71,86
1966,50,63,84
1967,43,58,80
1968,51,66,86
1969,48,61,89
1970,49,68,83
1971,53,65,83
1972,48,59,81
1973,55,69,91
1974,43,65,82
1975,48,73,84
1976,41,61,88
1977,51,60,81
1978,47,70,85
1979,51,71,86
1980,47,66,89
1981,60,69,87
1982,48,53,80
1983,46,67,88
1984,47,61,83
1985,52,63,85
1986,43,63,85
1987,57,65,89
1988,54,63,85
1989,56,64,87
1990,44,59,82
1991,44,66,85
1992,52,61,84
1993,49,64,84
1994,47,59,84
1995,48,65,84
1996,40,50,79
1997,49,56,84
1998,51,69,81
1999,51,59,86
2000,51,63,79
2001,40,57,78
2002,47,71,89
2003,45,60,86
2004,54,72,90
2005,55,72,90
2006,60,72,92
2007,52,64,87
2008,53,77,82
2009,54,74,90
2010,41,53,85
2011,48,63,80
2012,51,65,86
2013,49,57,81
2014,45,58,80
2015,51,67,84
2016,46,55,85
2017,44,58,82
2018,54,67,81
2019,47,63,82
2020,54,64,90
2021,50,60,88
2022,48,66,90
2023,49,58,87
2024,52,70,88
2025,56,67,87
2026,51,55,79
2027,55,54,85
2028,47,62,86
2029,47,61,87
2030,58,63,90
2031,49,60,79
2032,51,64,89
2033,45,67,82
2034,51,69,88
2035,45,57,82
2036,48,63,80
2037,48,66,89
2038,50,57,87
2039,50,70,86
2040,52,77,89
2041,47,66,89
2042,50,69,89
2043,43,65,90
2044,49,66,87
2045,36,55,81
2046,55,75,86
2047,47,56,75
2048,50,69,84
2049,55,60,81
2050,46,50,87
2051,56,65,88
2052,51,66,85
2053,45,64,84
2054,47,72,87
2055,58,62,84
2056,43,56,82
2057,50,61,81
2058,48,51,88
2059,47,67,89
2060,51,61,86
2061,49,60,83
2062,40,53,90
2063,49,59,87
2064,46,62,78
2065,53,66,86
2066,52,63,83
2067,56,67,84
2068,52,63,87
2069,47,65,90
2070,51,64,87
2071,52,72,84
2072,44,56,82
2073,64,73,91
2074,52,63,87
2075,54,66,83
2076,60,68,84
2077,52,72,85
2078,53,70,84
2079,48,69,89
2080,41,58,80
2081,53,67,88
2082,49,66,85
2083,54,69,81
2084,55,60,92
2085,44,66,85
2086,48,51,83
2087,42,57,87
2088,59,70,86
2089,49,67,86
2090,48,65,76
2091,43,67,79
2092,46,66,83
2093,55,62,88
2094,50,67,92
2095,39,50,82
2096,41,52,91
2097,42,61,81
2098,45,64,79
2099,57,67,80
2100,44,56,77
2101,48,58,84
2102,45,64,84
2103,54,69,88
2104,52,61,79
2105,49,66,85
2106,53,67,84
2107,48,60,92
2108,44,59,79
2109,50,57,78
2110,54,68,85
2111,53,70,92
2112,51,65,87
2113,50,73,90
2114,50,60,83
2115,50,61,81
2116,42,60,83
2117,51,63,84
2118,44,54,78
2119,48,67,86
2120,46,53,84
2121,51,66,86
2122,50,64,85
2123,48,63,87
2124,48,60,83
2125,39,61,89
2126,42,61,90
2127,44,60,84
2128,44,62,78
2129,47,68,85
2130,54,70,87
2131,46,72,90
2132,52,68,85
2133,46,59,74
2134,49,69,82
2135,49,60,91
2136,57,70,88
2137,49,57,79
2138,49,69,83
2139,46,56,86
2140,49,64,82
2141,47,59,82
2142,60,72,85
2143,49,62,80
2144,54,71,82
2145,48,66,84
2146,53,68,81
2147,52,66,81
2148,43,59,81
2149,51,59,85
2150,45,65,80
2151,50,67,80
2152,50,70,86
2153,44,58,82
2154,43,70,82
2155,52,64,85
2156,57,65,87
2157,48,59,88
2158,44,57,88
2159,49,77,88
2160,50,62,86
2161,44,51,83
2162,51,63,82
2163,49,55,74
2164,60,60,88
2165,46,57,87
2166,45,56,86
2167,48,59,88
2168,62,74,81
2169,54,65,78
2170,41,59,83
2171,38,51,83
2172,50,75,83
2173,47,66,87
2174,42,52,87
2175,44,56,85
2176,46,59,85
2177,51,65,89
2178,57,68,89
2179,51,70,81
2180,52,64,89
2181,45,65,82
2182,50,69,86
2183,41,54,84
2184,54,66,82
2185,46,61,85
2186,42,60,82
2187,45,63,87
2188,44,62,82
2189,49,61,87
2190,49,65,84
2191,59,64,79
2192,51,77,83
2193,52,65,84
2194,50,64,84
2195,38,66,91
2196,52,69,93
2197,45,68,87
2198,50,67,84
2199,54,72,87
2200,56,63,82
2201,45,63,79
2202,49,62,88
2203,48,62,79
2204,56,71,92
2205,45,59,84
2206,53,67,87
2207,51,67,87
2208,52,71,85
2209,58,63,88
2210,49,60,88
2211,58,69,84
2212,49,59,81
2213,59,72,87
2214,61,72,86
2215,45,58,85
2216,52,67,86
2217,39,63,91
2218,44,62,89
2219,44,55,83
2220,53,59,85
2221,36,51,85
2222,44,63,86
2223,54,60,88
2224,52,65,77
2225,52,68,75
2226,51,66,88
2227,45,65,82
2228,60,67,82
2229,54,65,86
2230,48,61,85
2231,55,67,91
2232,53,66,87
2233,44,55,87
2234,54,73,90
2235,46,54,80
2236,40,57,86
2237,47,64,84
2238,47,58,85
2239,45,57,80
2240,54,71,87
2241,60,68,85
2242,48,69,86
2243,52,56,83
2244,50,60,84
2245,45,71,85
2246,58,69,84
2247,51,64,86
2248,50,66,91
2249,53,66,79
2250,43,52,83
2251,62,62,81
2252,50,57,83
2253,57,69,92
2254,45,64,88
2255,50,62,87
2256,55,68,90
2257,49,70,82
2258,56,62,84
2259,43,60,81
2260,46,67,91
2261,57,71,85
2262,47,63,84
2263,48,57,86
2264,45,59,83
2265,54,56,84
2266,52,64,86
2267,39,57,79
2268,51,59,84
2269,50,72,86
2270,48,65,88
2271,56,63,80
2272,45,61,86
2273,49,58,88
2274,52,53,92
2275,48,69,86
2276,48,63,85
2277,53,68,83
2278,46,68,85
2279,48,65,87
2280,55,74,91
2281,51,62,81
2282,46,62,83
2283,48,61,89
2284,60,68,94
2285,49,60,86
2286,38,54,82
2287,57,70,85
2288,43,56,86
2289,41,53,76
2290,44,57,84
2291,45,63,83
2292,57,65,86
2293,53,55,88
2294,50,65,86
2295,49,66,86
2296,49,64,85
2297,40,54,80
2298,53,57,83
2299,55,71,84
2300,45,58,85
2301,50,63,85
2302,46,62,86
2303,49,59,84
2304,40,64,83
2305,46,63,85
2306,46,50,80
2307,47,56,76
2308,50,67,88
2309,56,67,84
2310,47,64,84
2311,38,62,84
2312,51,59,83
2313,49,61,81
2314,55,71,87
2315,48,63,82
2316,53,66,82
2317,53,65,84
2318,51,59,82
2319,50,71,90
2320,42,62,77
2321,51,71,82
2322,54,62,78
2323,42,66,88
2324,44,59,87
2325,45,64,90
2326,46,65,83
2327,49,60,84
2328,47,67,83
2329,53,65,88
2330,59,68,82
2331,46,68,85
2332,50,55,82
2333,46,56,84
2334,42,58,78
2335,49,68,91
2336,61,69,86
2337,47,62,82
2338,50,66,82
2339,49,58,81
2340,45,63,91
2341,47,66,82
2342,49,60,89
2343,48,70,85
2344,47,69,80
2345,52,61,91
2346,50,73,87
2347,48,66,83
2348,45,69,90
2349,46,68,87
2350,51,64,85
2351,54,70,83
2352,53,58,83
2353,41,60,83
2354,45,61,84
2355,52,66,88
2356,51,63,80
2357,55,61,87
2358,42,62,81
2359,47,60,88
2360,48,67,87
2361,46,60,89
2362,43,56,90
2363,49,60,82
2364,49,59,83
2365,50,69,83
2366,52,72,90
2367,50,55,83
2368,56,71,85
2369,49,70,89
2370,55,67,82
2371,52,65,87
2372,46,56,91
2373,58,69,89
2374,52,65,81
2375,52,68,83
2376,49,69,87
2377,58,71,91
2378,48,65,82
2379,50,60,86
2380,57,70,90
2381,44,66,83
2382,47,65,88
2383,51,64,85
2384,56,70,87
2385,42,57,94
2386,50,65,81
2387,53,62,87
2388,45,61,88
2389,42,59,89
2390,47,48,79
2391,44,56,83
2392,54,75,87
2393,43,58,78
2394,51,68,80
2395,44,52,80
2396,50,65,76
2397,47,67,85
2398,45,56,82
2399,48,62,75
2400,51,67,84
2401,48,63,79
2402,46,62,82
2403,45,53,84
2404,58,65,86
2405,55,70,81
2406,44,68,92
2407,52,67,88
2408,45,59,86
2409,48,74,84
2410,46,61,83
2411,56,69,78
2412,52,54,90
2413,45,70,89
2414,58,66,82
2415,50,55,84
2416,51,66,91
2417,41,57,81
2418,50,65,89
2419,44,64,81
2420,48,66,84
2421,46,56,78
2422,44,65,83
2423,46,59,91
2424,47,63,82
2425,47,63,89
2426,49,66,80
2427,54,69,91
2428,38,48,83
2429,47,53,84
2430,52,62,82
2431,54,66,81
2432,48,60,84
2433,50,65,81
2434,52,73,92
2435,35,61,86
2436,44,66,84
2437,56,72,85
2438,51,63,81
2439,51,60,82
2440,44,56,87
2441,57,71,92
2442,51,65,84
2443,58,65,91
2444,54,67,88
2445,45,62,82
2446,47,72,86
2447,51,55,89
2448,50,60,83
2449,50,65,84
2450,47,71,82
2451,51,54,77
2452,56,64,87
2453,50,67,84
2454,46,60,84
2455,50,62,89
2456,50,63,88
2457,53,60,84
2458,49,55,85
2459,39,54,82
2460,53,68,87
2461,51,71,87
2462,48,54,91
2463,47,61,89
2464,57,65,86
2465,48,60,87
2466,45,61,87
2467,47,56,88
2468,42,65,88
2469,51,69,87
2470,52,60,82
2471,46,60,85
2472,56,65,89
2473,47,58,82
2474,57,68,80
2475,46,61,84
2476,45,66,84
2477,42,63,87
2478,54,67,82
2479,43,66,75
2480,49,61,89
2481,53,80,88
2482,44,57,84
2483,38,52,94
2484,55,65,90
2485,43,67,87
2486,52,73,90
2487,48,62,82
2488,47,61,88
2489,43,66,86
2490,60,65,88
2491,44,60,81
2492,56,73,80
2493,39,53,85
2494,41,60,84
2495,62,77,81
2496,49,72,86
2497,45,67,88
2498,44,59,80
2499,52,73,87
2500,49,61,89
2501,48,67,92
2502,45,52,81
2503,46,65,83
2504,47,61,85
2505,41,55,79
2506,59,67,76
2507,52,68,82
2508,58,68,87
2509,57,64,82
2510,53,59,82
2511,47,58,89
2512,52,68,81
2513,56,72,87
2514,45,60,90
2515,58,74,87
2516,45,62,87
2517,58,60,83
2518,53,73,88
2519,56,64,90
2520,49,64,90
2521,53,62,82
2522,44,58,84
2523,37,53,80
2524,48,63,87
2525,42,62,86
2526,36,48,81
2527,61,71,88
2528,48,66,91
2529,54,54,84
2530,48,57,88
2531,54,65,89
2532,50,69,85
2533,48,75,85
2534,49,63,86
2535,49,67,76
2536,55,67,86
2537,43,62,93
2538,49,62,82
2539,47,64,91
2540,51,60,88
2541,45,68,86
2542,54,67,94
2543,51,51,78
2544,49,68,88
2545,42,47,68
2546,48,63,86
2547,51,59,83
2548,42,57,88
2549,43,66,87
2550,46,52,82
2551,47,71,83
2552,54,69,82
2553,41,54,79
2554,51,69,88
2555,49,71,87
2556,48,63,84
2557,41,60,81
2558,53,62,86
2559,41,55,81
2560,51,73,86
2561,47,72,83
2562,47,64,85
2563,55,71,81
2564,51,70,81
2565,39,55,83
2566,54,62,88
2567,49,57,83
2568,48,63,88
2569,41,64,83
2570,42,60,80
2571,47,61,89
2572,41,65,81
2573,50,70,85
2574,53,58,82
2575,50,65,80
2576,46,51,80
2577,53,60,89
2578,46,53,85
2579,48,58,82
2580,40,55,82
2581,46,59,83
2582,56,63,82
2583,51,66,82
2584,52,61,75
2585,49,70,88
2586,54,72,87
2587,52,61,82
2588,46,57,83
2589,52,66,86
2590,48,56,87
2591,54,67,84
2592,48,67,83
2593,46,58,83
2594,50,67,91
2595,47,63,83
2596,52,67,94
2597,47,67,87
2598,58,60,87
2599,48,63,84
2600,44,55,77
2601,45,62,86
2602,51,72,90
2603,49,59,81
2604,46,61,81
2605,49,67,89
2606,53,63,78
2607,41,52,82
2608,50,63,81
2609,46,54,88
2610,46,69,78
2611,43,55,82
2612,47,58,79
2613,54,65,86
2614,48,66,88
2615,44,53,81
2616,54,69,87
2617,53,66,91
2618,48,64,87
2619,53,69,84
2620,48,65,82
2621,52,70,84
2622,49,55,87
2623,57,72,78
2624,49,58,86
2625,47,57,80
2626,50,65,82
2627,47,62,82
2628,57,73,85
2629,52,62,86
2630,52,70,87
2631,47,65,85
2632,57,66,92
2633,46,60,87
2634,57,65,83
2635,52,65,90
2636,52,57,83
2637,48,68,85
2638,45,66,87
2639,46,67,78
2640,47,63,81
2641,47,66,80
2642,44,61,86
2643,48,62,84
2644,56,63,82
2645,43,64,79
2646,51,60,84
2647,43,57,83
2648,48,65,77
2649,45,67,85
2650,53,67,85
2651,47,69,86
2652,36,45,84
2653,44,59,82
2654,52,66,82
2655,50,70,90
2656,54,59,86
2657,50,67,85
2658,52,68,91
2659,51,74,83
2660,55,69,83
2661,50,51,79
2662,41,64,80
2663,47,72,85
2664,43,63,85
2665,55,69,85
2666,42,62,83
2667,51,56,80
2668,43,64,79
2669,50,64,79
2670,50,66,88
2671,40,58,87
2672,46,66,88
2673,45,63,84
2674,51,65,81
2675,48,57,89
2676,47,65,89
2677,56,66,84
2678,44,61,87
2679,53,67,88
2680,54,66,88
2681,46,60,76
2682,39,57,88
2683,48,63,82
2684,53,61,85
2685,44,61,90
2686,47,63,88
2687,43,63,84
2688,42,58,85
2689,43,61,84
2690,46,67,87
2691,49,68,91
2692,47,65,83
2693,44,54,86
2694,47,58,81
2695,49,59,94
2696,38,54,83
2697,55,75,91
2698,43,57,83
2699,53,61,88
2700,39,50,86
2701,52,54,79
2702,56,60,75
2703,48,62,89
2704,55,70,78
2705,50,64,82
2706,45,55,83
2707,55,67,83
2708,49,63,81
2709,55,67,80
2710,40,58,83
2711,45,56,80
2712,41,59,83
2713,55,61,84
2714,54,53,81
2715,43,60,81
2716,57,72,85
2717,60,65,83
2718,47,63,86
2719,47,52,83
2720,51,61,85
2721,54,60,84
2722,43,55,89
2723,51,68,84
2724,53,72,86
2725,50,69,82
2726,39,49,81
2727,55,66,86
2728,46,62,84
2729,48,63,83
2730,46,65,88
2731,53,68,85
2732,40,57,85
2733,45,53,77
2734,55,59,84
2735,50,65,76
2736,49,63,83
2737,58,73,79
2738,51,62,86
2739,42,59,85
2740,41,63,84
2741,40,59,80
2742,42,45,79
2743,45,62,80
2744,45,58,85
2745,57,67,83
2746,54,68,87
2747,47,57,85
2748,53,71,85
2749,46,60,88
2750,42,54,80
2751,48,65,84
2752,59,72,90
2753,48,50,79
2754,50,65,84
2755,61,63,85
2756,41,57,83
2757,50,61,87
2758,46,64,83
2759,38,55,86
2760,57,73,86
2761,64,68,89
2762,54,62,88
2763,44,74,88
2764,50,66,86
2765,49,69,88
2766,44,67,86
2767,51,62,82
2768,41,52,85
2769,42,57,85
2770,46,58,83
2771,57,66,86
2772,41,65,86
2773,55,70,84
2774,53,62,88
2775,53,69,83
2776,52,70,80
2777,50,65,86
2778,52,71,79
2779,45,56,85
2780,51,70,85
2781,45,61,79
2782,52,69,80
2783,51,65,81
2784,45,64,83
2785,42,65,82
2786,47,60,83
2787,46,67,91
2788,47,63,85
2789,58,74,87
2790,47,70,85
2791,54,73,91
2792,39,51,78
2793,40,60,85
2794,43,58,88
2795,45,65,85
2796,57,69,85
2797,45,66,85
2798,50,62,86
2799,51,71,81
2800,39,59,76
2801,41,57,74
2802,50,67,84
2803,50,55,85
2804,47,62,83
2805,51,66,84
2806,50,62,82
2807,56,62,86
2808,56,74,81
2809,45,63,89
2810,51,59,87
2811,49,68,89
2812,44,49,84
2813,55,74,91
2814,50,62,86
2815,46,64,85
2816,57,66,88
2817,43,57,82
2818,54,64,74
2819,53,59,83
2820,56,71,83
2821,45,61,89
2822,47,67,83
2823,49,66,87
2824,48,60,83
2825,47,53,89
2826,49,64,86
2827,46,58,85
2828,53,62,88
2829,48,64,85
2830,53,71,83
2831,50,67,88
2832,52,63,84
2833,54,62,85
2834,47,65,88
2835,40,54,86
2836,51,71,81
2837,53,62,82
2838,50,69,92
2839,49,58,82
2840,45,65,89
2841,47,59,89
2842,46,62,77
2843,37,59,91
2844,45,61,84
2845,48,66,92
2846,41,61,84
2847,56,60,78
2848,51,61,83
2849,56,65,87
2850,52,61,82
2851,45,66,84
2852,49,64,92
2853,48,62,83
2854,52,72,85
2855,46,69,88
2856,44,55,84
2857,48,69,86
2858,47,62,81
2859,42,59,82
2860,56,70,87
2861,50,59,83
2862,38,48,79
2863,45,55,85
2864,49,68,87
2865,57,58,84
2866,45,69,87
2867,52,64,86
2868,47,63,88
2869,46,63,84
2870,48,64,85
2871,45,63,83
2872,51,59,85
2873,50,62,88
2874,47,58,86
2875,45,58,83
2876,43,62,85
2877,46,60,90
2878,45,58,85
2879,48,64,88
2880,52,75,86
2881,47,68,85
2882,49,68,82
2883,54,65,85
2884,54,62,88
2885,42,60,79
2886,55,66,85
2887,50,67,88
2888,47,53,84
2889,51,67,87
2890,53,68,88
2891,49,67,84
2892,56,71,82
2893,50,61,84
2894,43,69,85
2895,47,51,85
2896,60,74,92
2897,47,61,84
2898,35,52,84
2899,57,73,81
2900,43,59,79
2901,57,64,89
2902,52,72,87
2903,48,63,83
2904,45,67,88
2905,57,81,84
2906,49,56,84
2907,60,74,85
2908,55,58,79
2909,50,73,89
2910,55,67,88
2911,50,68,87
2912,47,67,88
2913,53,59,80
2914,55,56,85
2915,50,67,86
2916,46,58,85
2917,49,75,81
2918,55,65,81
2919,59,67,82
2920,50,65,82
2921,45,60,84
2922,51,67,86
2923,47,58,77
2924,52,70,88
2925,47,59,80
2926,49,55,86
2927,52,64,82
2928,54,63,88
2929,52,59,81
2930,52,63,81
2931,40,52,74
2932,48,62,83
2933,57,71,84
2934,49,67,84
2935,50,70,90
2936,55,64,84
2937,55,66,89
2938,53,70,90
2939,42,52,79
2940,45,58,84
2941,46,66,86
2942,47,73,83
2943,42,55,84
2944,57,69,92
2945,54,69,84
2946,50,53,79
2947,48,67,87
2948,49,64,86
2949,54,63,84
2950,37,45,73
2951,56,63,87
2952,48,66,83
2953,52,78,88
2954,49,61,90
2955,47,66,83
2956,50,64,81
2957,49,59,82
2958,56,63,88
2959,56,71,85
2960,53,73,86
2961,43,61,89
2962,46,62,90
2963,41,54,80
2964,46,59,85
2965,59,57,81
2966,44,58,83
2967,53,69,83
2968,50,67,83
2969,59,66,88
2970,51,54,88
2971,55,71,81
2972,48,67,85
2973,56,60,80
2974,50,66,80
2975,49,64,88
2976,49,71,89
2977,52,58,84
2978,45,44,80
2979,44,63,90
2980,47,66,81
2981,53,69,85
2982,50,62,87
2983,44,64,81
2984,48,64,85
2985,55,67,91
2986,50,64,84
2987,44,67,89
2988,45,59,85
2989,53,66,86
2990,57,66,87
2991,49,60,83
2992,48,62,83
2993,51,63,86
2994,42,65,88
2995,47,65,87
2996,50,57,86
2997,49,64,85
2998,53,64,91
2999,45,65,81
3000,52,61,86
3001,52,65,89
